Sex,Length,Diameter,Height,Whole_weight,Shucked_weight,Viscera_weight,Shell_weight,Rings
M,0.455,0.365,0.095,0.514,0.2245,0.101,0.15,15.772962670952815
M,0.35,0.265,0.09,0.2255,0.0995,0.0485,0.07,7.953886328665402
F,0.53,0.42,0.135,0.677,0.2565,0.1415,0.21,5.0309969260068215
M,0.44,0.365,0.125,0.516,0.2155,0.114,0.155,9.912448488517526
I,0.33,0.255,0.08,0.205,0.0895,0.0395,0.055,9.220799693132497
I,0.425,0.3,0.095,0.3515,0.141,0.0775,0.12,1.384798849875163
F,0.53,0.415,0.15,0.7775,0.237,0.1415,0.33,22.225349105068403
F,0.545,0.425,0.125,0.768,0.294,0.1495,0.26,14.281637491925132
M,0.475,0.37,0.125,0.5095,0.2165,0.1125,0.165,9.774165460744008
F,0.55,0.44,0.15,0.8945,0.3145,0.151,0.32,16.36826960898442
F,0.525,0.38,0.14,0.6065,0.194,0.1475,0.21,14.478125434265097
M,0.43,0.35,0.11,0.406,0.1675,0.081,0.135,11.03157589635413
M,0.49,0.38,0.135,0.5415,0.2175,0.095,0.19,11.886077672568952
F,0.535,0.405,0.145,0.6845,0.2725,0.171,0.205,9.98970843034151
F,0.47,0.355,0.1,0.4755,0.1675,0.0805,0.185,9.852181918963588
M,0.5,0.4,0.13,0.6645,0.258,0.133,0.24,11.561498678838127
I,0.355,0.28,0.085,0.2905,0.095,0.0395,0.115,6.212667365502937
F,0.44,0.34,0.1,0.451,0.188,0.087,0.13,7.859514933373125
M,0.365,0.295,0.08,0.2555,0.097,0.043,0.1,11.128665015663316
M,0.45,0.32,0.1,0.381,0.1705,0.075,0.115,5.974552053724189
M,0.355,0.28,0.095,0.2455,0.0955,0.062,0.075,13.37036294606938
I,0.38,0.275,0.1,0.2255,0.08,0.049,0.085,11.441856796280787
F,0.565,0.44,0.155,0.9395,0.4275,0.214,0.27,12.680497699631982
F,0.55,0.415,0.135,0.7635,0.318,0.21,0.2,10.313598130635164
F,0.615,0.48,0.165,1.1615,0.513,0.301,0.305,14.526463936345131
F,0.56,0.44,0.14,0.9285,0.3825,0.188,0.3,7.62739761799924
F,0.58,0.45,0.185,0.9955,0.3945,0.272,0.285,11.574874324508718
M,0.59,0.445,0.14,0.931,0.356,0.234,0.28,10.084118418770043
M,0.605,0.475,0.18,0.9365,0.394,0.219,0.295,14.999129813134903
M,0.575,0.425,0.14,0.8635,0.393,0.227,0.2,10.918312031937347
M,0.58,0.47,0.165,0.9975,0.3935,0.242,0.33,12.425558084922095
F,0.68,0.56,0.165,1.639,0.6055,0.2805,0.46,15.561965852957085
M,0.665,0.525,0.165,1.338,0.5515,0.3575,0.35,19.259099558868957
F,0.68,0.55,0.175,1.798,0.815,0.3925,0.455,17.18401355372268
F,0.705,0.55,0.2,1.7095,0.633,0.4115,0.49,10.88464135465386
M,0.465,0.355,0.105,0.4795,0.227,0.124,0.125,7.614633657743928
F,0.54,0.475,0.155,1.217,0.5305,0.3075,0.34,11.552757654905642
F,0.45,0.355,0.105,0.5225,0.237,0.1165,0.145,9.45351355153988
F,0.575,0.445,0.135,0.883,0.381,0.2035,0.26,12.129715876354146
M,0.355,0.29,0.09,0.3275,0.134,0.086,0.09,10.019764301587532
F,0.45,0.335,0.105,0.425,0.1865,0.091,0.115,8.283498728401572
F,0.55,0.425,0.135,0.8515,0.362,0.196,0.27,15.38919777950875
I,0.24,0.175,0.045,0.07,0.0315,0.0235,0.02,3.231392953094205
I,0.205,0.15,0.055,0.042,0.0255,0.015,0.012,2.088438992361104
I,0.21,0.15,0.05,0.042,0.0175,0.0125,0.015,7.627627883230824
I,0.39,0.295,0.095,0.203,0.0875,0.045,0.075,3.6305432485327116
M,0.47,0.37,0.12,0.5795,0.293,0.227,0.14,11.300597308618189
F,0.46,0.375,0.12,0.4605,0.1775,0.11,0.15,6.621539947905413
I,0.325,0.245,0.07,0.161,0.0755,0.0255,0.045,2.604813617929216
F,0.525,0.425,0.16,0.8355,0.3545,0.2135,0.245,7.8419363031635
I,0.52,0.41,0.12,0.595,0.2385,0.111,0.19,10.341619898536921
M,0.4,0.32,0.095,0.303,0.1335,0.06,0.1,6.724233041943147
M,0.485,0.36,0.13,0.5415,0.2595,0.096,0.16,16.295992558838286
F,0.47,0.36,0.12,0.4775,0.2105,0.1055,0.15,7.382817583615161
M,0.405,0.31,0.1,0.385,0.173,0.0915,0.11,9.51385344204433
F,0.5,0.4,0.14,0.6615,0.2565,0.1755,0.22,7.37001564245259
M,0.445,0.35,0.12,0.4425,0.192,0.0955,0.135,7.524860085040238
M,0.47,0.385,0.135,0.5895,0.2765,0.12,0.17,8.036107456560527
I,0.245,0.19,0.06,0.086,0.042,0.014,0.025,3.9798289287047472
F,0.505,0.4,0.125,0.583,0.246,0.13,0.175,5.674802046285269
M,0.45,0.345,0.105,0.4115,0.18,0.1125,0.135,7.4979774487401984
M,0.505,0.405,0.11,0.625,0.305,0.16,0.175,6.064034816588945
F,0.53,0.41,0.13,0.6965,0.302,0.1935,0.2,11.869238034794632
M,0.425,0.325,0.095,0.3785,0.1705,0.08,0.1,8.911056599259675
M,0.52,0.4,0.12,0.58,0.234,0.1315,0.185,5.205179748497338
M,0.475,0.355,0.12,0.48,0.234,0.1015,0.135,8.37260344585183
F,0.565,0.44,0.16,0.915,0.354,0.1935,0.32,11.118137729954933
F,0.595,0.495,0.185,1.285,0.416,0.224,0.485,14.658577829894258
F,0.475,0.39,0.12,0.5305,0.2135,0.1155,0.17,7.534092791648134
I,0.31,0.235,0.07,0.151,0.063,0.0405,0.045,6.355326617273552
M,0.555,0.425,0.13,0.7665,0.264,0.168,0.275,11.779211410931815
F,0.4,0.32,0.11,0.353,0.1405,0.0985,0.1,8.440138666325225
F,0.595,0.475,0.17,1.247,0.48,0.225,0.425,16.835336565845648
